185532, 5056, 8343, 3243, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185569, 3567, 5092, 5186, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185606, 2358, 3178, 5039, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185644, 2044, 3136, 4086, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185681, 2209, 3062, 3977, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185719, 2573, 2708, 4659, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185764, 2542, 2647, 4332, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185809, 2194, 3151, 3081, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185854, 1426, 2849, 2456, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185899, 1172, 3067, 1739, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185944, 525, 2710, 1206, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
185989, 221, 2170, 1707, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186034, -164, 2735, 1762, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186079, 373, 1653, 2164, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186124, -265, 3183, 1119, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186169, 576, 3354, 1138, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186201, 547, 3570, 648, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186233, 35, 4050, 131, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186265, -28, 4806, -542, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186297, -388, 5029, -1351, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186329, -72, 5034, -1530, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186362, 191, 4270, -1144, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186394, 174, 3369, -894, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186426, 274, 3058, -928, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186458, 133, 4121, -1363, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186490, 301, 4624, -1724, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186523, 214, 4557, -1618, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186562, 183, 4271, -1288, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186601, 135, 3793, -881, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186640, 149, 3542, -852, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186680, 149, 3680, -1004, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186719, 181, 3986, -1214, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186758, 233, 4052, -1416, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186798, 173, 4120, -1441, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
186837, 167, 3920, -1287, 75, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
