92087, -876, 3509, -1750, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92125, -840, 3453, -1658, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92163, -846, 3703, -1752, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92201, -676, 3426, -1714, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92244, -676, 3702, -1679, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92288, -601, 3371, -1858, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92331, -698, 3280, -1897, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92375, -585, 3252, -2105, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92418, -548, 3281, -2006, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92462, -1545, 3507, -954, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92505, -942, 3592, -2306, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92549, -463, 3241, -2088, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92592, -668, 3648, -3295, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92636, -2460, 3086, -2818, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92667, -1480, 3363, -2872, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92699, -911, 3225, -2519, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
92730, -896, 3050, -2527, 87, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
