43670, -194, 4094, -463, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43710, -169, 4102, -455, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43750, -191, 4067, -489, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43790, -206, 4066, -494, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43830, -201, 4049, -475, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43870, -193, 4067, -458, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43910, -226, 4084, -478, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43951, -211, 4073, -458, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
43989, -189, 4051, -491, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44028, -175, 4075, -466, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44066, -194, 4069, -482, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44105, -183, 4048, -480, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44144, -179, 4053, -466, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44182, -169, 4068, -453, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44221, -205, 4077, -504, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44259, -181, 4070, -484, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44298, -186, 4059, -487, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44337, -199, 4057, -495, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44378, -160, 4066, -510, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44419, -181, 4065, -498, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44461, -180, 4068, -508, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44502, -201, 4070, -532, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44543, -200, 4058, -521, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44585, -175, 4064, -506, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44626, -203, 4060, -545, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44667, -165, 4052, -500, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44709, -188, 4047, -499, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44750, -190, 4061, -517, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44792, -223, 4057, -543, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44827, -178, 4034, -524, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44862, -169, 4076, -479, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44898, -168, 4110, -568, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44933, -162, 4066, -534, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
44969, -177, 4047, -508, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45004, -148, 4080, -545, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45039, -149, 4077, -521, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45075, -202, 4108, -543, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45110, -190, 4047, -520, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45146, -178, 4060, -576, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45188, -140, 4062, -542, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45230, -112, 4057, -548, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
45272, -113, 4081, -595, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45315, -98, 4047, -569, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45357, -87, 4042, -568, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45399, -133, 4033, -597, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45442, -213, 4181, -728, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45484, -165, 4185, -747, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45526, -197, 3945, -540, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45569, -194, 3882, -453, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45602, -207, 3964, -442, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45635, -420, 3838, -523, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45668, -299, 4061, -544, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45701, -727, 3955, -603, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45734, -309, 3971, -640, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45768, -362, 4004, -727, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45801, -334, 4000, -701, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45834, -363, 4014, -661, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45867, -423, 4060, -725, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45900, -476, 4052, -724, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45934, -537, 4060, -742, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
45978, -547, 4056, -848, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46022, -548, 3994, -846, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46066, -583, 3944, -887, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46110, -611, 3941, -884, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46154, -702, 3916, -885, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46198, -804, 3910, -790, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
46242, -884, 4050, -603, 78, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, berdiri_tidak_stabil, 
