32754, -300, 3926, -1163, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32795, -254, 3914, -1170, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32835, -236, 3938, -1178, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32876, -256, 3945, -1157, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32916, -264, 3908, -1150, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32957, -250, 3919, -1155, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
32997, -253, 3890, -1190, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33038, -249, 3892, -1154, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33077, -250, 3872, -1188, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33116, -240, 3874, -1134, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33156, -235, 3924, -1181, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33195, -246, 3909, -1157, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33235, -232, 3926, -1199, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33274, -275, 3927, -1157, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33313, -263, 3966, -1223, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33353, -245, 3907, -1164, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33392, -280, 3960, -1193, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33432, -257, 3902, -1181, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33472, -247, 3924, -1178, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33513, -269, 3922, -1185, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33554, -255, 3917, -1192, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33595, -282, 3920, -1202, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33636, -252, 3895, -1182, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33676, -244, 3927, -1169, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33717, -213, 3907, -1214, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33758, -238, 3938, -1152, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33799, -272, 3894, -1211, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33840, -240, 3889, -1203, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33881, -234, 3939, -1175, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33919, -272, 3912, -1219, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33958, -261, 3908, -1158, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
33997, -258, 3928, -1213, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34035, -265, 3899, -1178, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34074, -267, 3914, -1193, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34113, -255, 3928, -1182, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34151, -272, 3873, -1185, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34190, -250, 3892, -1185, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34229, -234, 3883, -1222, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34268, -250, 3936, -1191, 102, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34307, -264, 3944, -1228, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34346, -238, 3946, -1164, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34385, -243, 3902, -1213, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34424, -262, 3886, -1182, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34463, -238, 3925, -1193, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34502, -241, 3935, -1226, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34541, -244, 3887, -1170, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34580, -213, 3899, -1176, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34619, -211, 3914, -1221, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34658, -218, 3921, -1199, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34697, -231, 3927, -1206, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34730, -213, 3891, -1208, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
34764, -220, 3894, -1180, 101, 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
