28009, -582, 3543, -1896, , 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28046, -629, 3654, -1764, , 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28086, -591, 3614, -1871, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28126, -589, 3616, -1831, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28166, -580, 3600, -1837, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28207, -560, 3590, -1846, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28247, -622, 3558, -1827, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28287, -596, 3577, -1851, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28328, -612, 3594, -1824, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28368, -587, 3602, -1859, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28408, -599, 3612, -1872, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28449, -592, 3600, -1853, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28482, -655, 3624, -1875, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28515, -622, 3597, -1863, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28549, -630, 3613, -1871, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28582, -588, 3619, -1824, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28615, -621, 3558, -1848, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28649, -651, 3594, -1860, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
28682, -632, 3628, -1854, 48, 006b9715-0024-4170-a8a1-80d7e40b2943, , berdiri, bersedekap, , 
